last_name,first_name,second_name,date_of_birth,bio
Тихонов,Даниил,Петрович,1981-06-06,
Греков,Арсений,Артёмович,1990-08-05,
Миронов,Леонид,Константинович,1995-06-22,
Фокина,Татьяна,Евгеньевна,2003-02-04,
Давыдов,Михаил,Львович,2003-08-23,
Никитин,Максим,Георгиевич,1981-04-17,
Михеев,Егор,Тимофеевич,1999-05-07,
Лебедев,Карим,Артёмович,1998-04-22,
Попова,Анастасия,Максимовна,1997-11-28,
Миронов,Филипп,Георгиевич,1992-08-15,
Гусев,Макар,Ильич,2003-12-20,
Дубинина,Дарья,Евгеньевна,2003-07-10,
Уткина,Виктория,Денисовна,1996-10-12,
Бочаров,Алексей,Кириллович,1982-11-11,
Воробьев,Серафим,Сергеевич,1998-03-21,
Михайлова,Вера,Максимовна,1989-01-17,
Леонова,София,Егоровна,2003-09-05,
Шилов,Марк,Даниилович,1986-03-03,
Филатова,Ксения,Юрьевна,2002-07-07,
Платонов,Ярослав,Тимофеевич,1986-06-04,
Пономарев,Тимофей,Павлович,1998-07-31,
Овчинникова,Анна,Михайловна,1983-09-20,
Винокурова,Дарина,Михайловна,1985-05-06,
Рожков,Александр,Андреевич,1987-11-08,
Бессонов,Артём,Всеволодович,1985-01-02,
Горюнова,Александра,Андреевна,1997-01-01,
Платонова,Агата,Ярославовна,2000-12-19,
Сафонов,Борис,Арсентьевич,2000-11-20,
Шапошникова,Анна,Львовна,1999-03-12,
Никитин,Алексей,Миронович,2004-08-14,
Поляков,Александр,Алексеевич,1993-03-12,
Попов,Кирилл,Никитич,1999-05-12,
Дьяконова,Алиса,Ивановна,1989-06-20,
Кулешова,Екатерина,Львовна,2000-03-20,
Морозов,Олег,Михайлович,1995-06-08,
Михайлов,Матвей,Егорович,1990-09-07,
Кулешов,Константин,Вадимович,1992-05-05,
Сорокин,Владимир,Платонович,1993-09-13,
Морозова,Мирослава,Михайловна,2004-10-04,
Алексеев,Сергей,Леонидович,2003-01-12,
Сидорова,Ульяна,Ильинична,2000-05-14,
Панкова,Дарья,Данииловна,1986-06-05,
Баранов,Кирилл,Никитич,1990-01-04,
Золотарева,Варвара,Егоровна,1987-08-12,
Денисов,Макар,Григорьевич,1984-01-25,
Кузнецова,Полина,Григорьевна,1994-07-12,
Николаев,Артём,Арсенович,1997-10-07,
Малышев,Артём,Николаевич,1985-04-08,
Марков,Демид,Александрович,1989-08-27,
Майоров,Максим,Максимович,1985-01-14,
Ларионова,София,Ивановна,2003-07-06,
Евдокимова,Алина,Максимовна,2004-02-02,
Тихонов,Юрий,Владимирович,1999-09-25,
Лебедев,Платон,Артёмович,1994-10-26,
Масленникова,Арина,Матвеевна,1991-05-25,
Захаров,Алексей,Фёдорович,2004-12-12,
Шапошников,Григорий,Георгиевич,2000-12-19,
Громова,Таисия,Владимировна,1999-04-08,
Трофимов,Максим,Юрьевич,1993-05-11,
Макеева,Алиса,Дмитриевна,2003-03-23,
Пантелеев,Иван,Михайлович,1987-01-20,
Коновалова,Виктория,Матвеевна,2004-04-09,
Голубев,Лев,Георгиевич,1990-04-08,
Дементьева,Маргарита,Сергеевна,2004-10-18,
Котов,Руслан,Артёмович,1986-12-06,
Зуев,Даниил,Михайлович,2001-09-22,
Новиков,Максим,Владиславович,2003-07-05,
Спиридонова,Анна,Данииловна,1989-01-16,
Шмелев,Андрей,Максимович,1984-10-15,
Акимова,Мария,Артемьевна,2000-11-21,
Новикова,Анна,Филипповна,1980-06-04,
Лобанов,Павел,Захарович,1995-05-23,
Кузнецова,Ксения,Дмитриевна,1985-12-30,
Лазарев,Артём,Ильич,2002-07-11,
Егоров,Максим,Александрович,1986-01-20,
Волков,Дмитрий,Артёмович,1990-01-08,
Кузьмин,Олег,Владимирович,1992-03-31,
Савельева,Маргарита,Фёдоровна,1997-11-25,
Филимонова,Елизавета,Ильинична,2003-10-30,
Лаптев,Константин,Никитич,1980-07-30,
Гончаров,Руслан,Кириллович,1997-01-23,
Быкова,София,Артёмовна,1985-10-12,
Захаров,Игорь,Демидович,1982-05-12,
Данилова,Анна,Семёновна,2000-01-27,
Богданова,Анастасия,Алексеевна,1987-04-14,
Афанасьев,Александр,Демидович,1980-03-19,
Климова,Эмилия,Ивановна,1992-02-17,
Лобанова,Вера,Львовна,2003-09-17,
Антипов,Илья,Константинович,1981-07-20,
Петухова,Маргарита,Романовна,1988-03-23,
Дегтярев,Александр,Захарович,1998-10-14,
Воронов,Григорий,Григорьевич,1991-12-21,
Игнатов,Владислав,Владимирович,1981-06-12,
Лапшин,Никита,Ильич,1991-11-17,
Ефремова,Софья,Артемьевна,1992-09-26,
Сорокин,Константин,Александрович,1984-12-18,
Петров,Александр,Михайлович,1993-08-05,
Капустина,Лиана,Матвеевна,1996-10-05,
Макаров,Арсений,Богданович,1992-03-18,
Никитин,Иван,Львович,1994-06-23,
