last_name,first_name,second_name,date_of_birth,bio
Терентьева,Ярослава,Ивановна,1994-06-13,
Корнилова,Ульяна,Евгеньевна,1986-09-22,
Плотникова,Ева,Алексеевна,1986-06-07,
Митрофанова,Дарья,Степановна,1993-02-26,
Смирнова,Анна,Елисеевна,1980-04-19,
Куликова,Варвара,Николаевна,1985-05-18,
Семенов,Михаил,Михайлович,1984-12-23,
Иванов,Максим,Денисович,1993-04-01,
Плотникова,Полина,Артёмовна,1996-12-14,
Кузнецов,Андрей,Львович,1995-06-07,
Муравьева,Анна,Львовна,1996-07-27,
Кузьмин,Александр,Львович,1989-06-16,
Никитина,Полина,Матвеевна,1991-05-19,
Агафонова,Вероника,Ильинична,1983-09-04,
Королева,София,Артёмовна,1992-06-05,
Жукова,Елизавета,Ярославовна,1982-02-24,
Федосеева,Мария,Арсентьевна,1982-11-29,
Шаповалов,Ярослав,Матвеевич,1982-02-15,
Смирнова,Софья,Петровна,1998-05-29,
Евдокимова,Марианна,Ярославовна,1987-12-05,
